"","study","country","ageGroup","framing","itemSet","subid","dateOfTest","durationOfTest","gender","religion","repeated","comments","sequence","phase","trialNum","factCat","factSub","factText","questionCat","questionSub","questionText","response"
"1","1","us","adults","does that mean...?","cb1","R_0dKn1jkPuTFLlnn",2014-04-11 09:12:00,4,NA,NA,NA,"Thanks for the opportunity.","1","practice",1,NA,NA,"is purple",NA,NA,"is green",-1.5
"2","1","us","adults","does that mean...?","cb1","R_0dKn1jkPuTFLlnn",2014-04-11 09:12:00,4,NA,NA,NA,"Thanks for the opportunity.","1","practice",2,NA,NA,"is walking around",NA,NA,"has legs",1.5
"3","1","us","adults","does that mean...?","cb1","R_0dKn1jkPuTFLlnn",2014-04-11 09:12:00,4,NA,NA,NA,"Thanks for the opportunity.","1","practice",3,NA,NA,"is made out of paper",NA,NA,"might rip sometime",0.5
"4","1","us","adults","does that mean...?","cb1","R_0dKn1jkPuTFLlnn",2014-04-11 09:12:00,4,NA,NA,NA,"Thanks for the opportunity.","1","test",4,"inanimacy","metal_plastic","is made out of plastic","perception","hearing","can hear what's going on around it",0.5
"5","1","us","adults","does that mean...?","cb1","R_0dKn1jkPuTFLlnn",2014-04-11 09:12:00,4,NA,NA,NA,"Thanks for the opportunity.","1","test",5,"affect","positive","is in a good mood right now","autonomy","noise","can make noises all by itself",0.5
"6","1","us","adults","does that mean...?","cb1","R_0dKn1jkPuTFLlnn",2014-04-11 09:12:00,4,NA,NA,NA,"Thanks for the opportunity.","1","test",6,"perception","vision","can see me","affect","negative","can be in a bad mood sometimes",0.5
"7","1","us","adults","does that mean...?","cb1","R_0dKn1jkPuTFLlnn",2014-04-11 09:12:00,4,NA,NA,NA,"Thanks for the opportunity.","1","test",7,"autonomy","movement","is moving itself from one side of the box to the other","inanimacy","glass_clay","is made out of clay",-0.5
"8","1","us","adults","does that mean...?","cb1","R_0dKn1jkPuTFLlnn",2014-04-11 09:12:00,4,NA,NA,NA,"Thanks for the opportunity.","1","test",8,"affect","negative","feels sad right now","affect","positive","can feel happy sometimes",0.5
"9","1","us","adults","does that mean...?","cb1","R_0dKn1jkPuTFLlnn",2014-04-11 09:12:00,4,NA,NA,NA,"Thanks for the opportunity.","1","test",9,"autonomy","noise","is making sounds on its own","perception","vision","can see what the box looks like",-0.5
"10","1","us","adults","does that mean...?","cb1","R_0dKn1jkPuTFLlnn",2014-04-11 09:12:00,4,NA,NA,NA,"Thanks for the opportunity.","1","test",10,"inanimacy","glass_clay","is made out of glass","inanimacy","metal_plastic","is made out of metal",-1.5
"11","1","us","adults","does that mean...?","cb1","R_0dKn1jkPuTFLlnn",2014-04-11 09:12:00,4,NA,NA,NA,"Thanks for the opportunity.","1","test",11,"perception","hearing","can hear me","autonomy","movement","can move itself around the box",-1.5
"12","1","us","adults","does that mean...?","cb1","R_0lxKq3EZpu8YgKN",2014-04-11 07:36:00,3,NA,NA,NA,NA,"1","practice",1,NA,NA,"is purple",NA,NA,"is green",-1.5
"13","1","us","adults","does that mean...?","cb1","R_0lxKq3EZpu8YgKN",2014-04-11 07:36:00,3,NA,NA,NA,NA,"1","practice",2,NA,NA,"is walking around",NA,NA,"has legs",1.5
"14","1","us","adults","does that mean...?","cb1","R_0lxKq3EZpu8YgKN",2014-04-11 07:36:00,3,NA,NA,NA,NA,"1","practice",3,NA,NA,"is made out of paper",NA,NA,"might rip sometime",0.5
"15","1","us","adults","does that mean...?","cb1","R_0lxKq3EZpu8YgKN",2014-04-11 07:36:00,3,NA,NA,NA,NA,"1","test",4,"inanimacy","metal_plastic","is made out of plastic","perception","hearing","can hear what's going on around it",-1.5
"16","1","us","adults","does that mean...?","cb1","R_0lxKq3EZpu8YgKN",2014-04-11 07:36:00,3,NA,NA,NA,NA,"1","test",5,"affect","positive","is in a good mood right now","autonomy","noise","can make noises all by itself",0.5
"17","1","us","adults","does that mean...?","cb1","R_0lxKq3EZpu8YgKN",2014-04-11 07:36:00,3,NA,NA,NA,NA,"1","test",6,"perception","vision","can see me","affect","negative","can be in a bad mood sometimes",0.5
"18","1","us","adults","does that mean...?","cb1","R_0lxKq3EZpu8YgKN",2014-04-11 07:36:00,3,NA,NA,NA,NA,"1","test",7,"autonomy","movement","is moving itself from one side of the box to the other","inanimacy","glass_clay","is made out of clay",-1.5
"19","1","us","adults","does that mean...?","cb1","R_0lxKq3EZpu8YgKN",2014-04-11 07:36:00,3,NA,NA,NA,NA,"1","test",8,"affect","negative","feels sad right now","affect","positive","can feel happy sometimes",0.5
"20","1","us","adults","does that mean...?","cb1","R_0lxKq3EZpu8YgKN",2014-04-11 07:36:00,3,NA,NA,NA,NA,"1","test",9,"autonomy","noise","is making sounds on its own","perception","vision","can see what the box looks like",0.5
"21","1","us","adults","does that mean...?","cb1","R_0lxKq3EZpu8YgKN",2014-04-11 07:36:00,3,NA,NA,NA,NA,"1","test",10,"inanimacy","glass_clay","is made out of glass","inanimacy","metal_plastic","is made out of metal",-1.5
"22","1","us","adults","does that mean...?","cb1","R_0lxKq3EZpu8YgKN",2014-04-11 07:36:00,3,NA,NA,NA,NA,"1","test",11,"perception","hearing","can hear me","autonomy","movement","can move itself around the box",0.5
"23","1","us","adults","does that mean...?","cb1","R_3lR0LqYqVGzBNid",2014-04-11 11:53:00,3,NA,NA,NA,NA,"1","practice",1,NA,NA,"is purple",NA,NA,"is green",-1.5
"24","1","us","adults","does that mean...?","cb1","R_3lR0LqYqVGzBNid",2014-04-11 11:53:00,3,NA,NA,NA,NA,"1","practice",2,NA,NA,"is walking around",NA,NA,"has legs",1.5
"25","1","us","adults","does that mean...?","cb1","R_3lR0LqYqVGzBNid",2014-04-11 11:53:00,3,NA,NA,NA,NA,"1","practice",3,NA,NA,"is made out of paper",NA,NA,"might rip sometime",1.5
"26","1","us","adults","does that mean...?","cb1","R_3lR0LqYqVGzBNid",2014-04-11 11:53:00,3,NA,NA,NA,NA,"1","test",4,"inanimacy","metal_plastic","is made out of plastic","perception","hearing","can hear what's going on around it",-1.5
"27","1","us","adults","does that mean...?","cb1","R_3lR0LqYqVGzBNid",2014-04-11 11:53:00,3,NA,NA,NA,NA,"1","test",5,"affect","positive","is in a good mood right now","autonomy","noise","can make noises all by itself",0.5
"28","1","us","adults","does that mean...?","cb1","R_3lR0LqYqVGzBNid",2014-04-11 11:53:00,3,NA,NA,NA,NA,"1","test",6,"perception","vision","can see me","affect","negative","can be in a bad mood sometimes",0.5
"29","1","us","adults","does that mean...?","cb1","R_3lR0LqYqVGzBNid",2014-04-11 11:53:00,3,NA,NA,NA,NA,"1","test",7,"autonomy","movement","is moving itself from one side of the box to the other","inanimacy","glass_clay","is made out of clay",0.5
"30","1","us","adults","does that mean...?","cb1","R_3lR0LqYqVGzBNid",2014-04-11 11:53:00,3,NA,NA,NA,NA,"1","test",8,"affect","negative","feels sad right now","affect","positive","can feel happy sometimes",1.5
"31","1","us","adults","does that mean...?","cb1","R_3lR0LqYqVGzBNid",2014-04-11 11:53:00,3,NA,NA,NA,NA,"1","test",9,"autonomy","noise","is making sounds on its own","perception","vision","can see what the box looks like",-0.5
"32","1","us","adults","does that mean...?","cb1","R_3lR0LqYqVGzBNid",2014-04-11 11:53:00,3,NA,NA,NA,NA,"1","test",10,"inanimacy","glass_clay","is made out of glass","inanimacy","metal_plastic","is made out of metal",-1.5
"33","1","us","adults","does that mean...?","cb1","R_3lR0LqYqVGzBNid",2014-04-11 11:53:00,3,NA,NA,NA,NA,"1","test",11,"perception","hearing","can hear me","autonomy","movement","can move itself around the box",0.5
"34","1","us","adults","does that mean...?","cb1","R_43pNIOadVPn4K3j",2014-04-11 10:26:00,5,NA,NA,NA,"Interesting study!","1","practice",1,NA,NA,"is purple",NA,NA,"is green",-1.5
"35","1","us","adults","does that mean...?","cb1","R_43pNIOadVPn4K3j",2014-04-11 10:26:00,5,NA,NA,NA,"Interesting study!","1","practice",2,NA,NA,"is walking around",NA,NA,"has legs",1.5
"36","1","us","adults","does that mean...?","cb1","R_43pNIOadVPn4K3j",2014-04-11 10:26:00,5,NA,NA,NA,"Interesting study!","1","practice",3,NA,NA,"is made out of paper",NA,NA,"might rip sometime",1.5
"37","1","us","adults","does that mean...?","cb1","R_43pNIOadVPn4K3j",2014-04-11 10:26:00,5,NA,NA,NA,"Interesting study!","1","test",4,"inanimacy","metal_plastic","is made out of plastic","perception","hearing","can hear what's going on around it",-0.5
"38","1","us","adults","does that mean...?","cb1","R_43pNIOadVPn4K3j",2014-04-11 10:26:00,5,NA,NA,NA,"Interesting study!","1","test",5,"affect","positive","is in a good mood right now","autonomy","noise","can make noises all by itself",0.5
"39","1","us","adults","does that mean...?","cb1","R_43pNIOadVPn4K3j",2014-04-11 10:26:00,5,NA,NA,NA,"Interesting study!","1","test",6,"perception","vision","can see me","affect","negative","can be in a bad mood sometimes",0.5
"40","1","us","adults","does that mean...?","cb1","R_43pNIOadVPn4K3j",2014-04-11 10:26:00,5,NA,NA,NA,"Interesting study!","1","test",7,"autonomy","movement","is moving itself from one side of the box to the other","inanimacy","glass_clay","is made out of clay",-1.5
"41","1","us","adults","does that mean...?","cb1","R_43pNIOadVPn4K3j",2014-04-11 10:26:00,5,NA,NA,NA,"Interesting study!","1","test",8,"affect","negative","feels sad right now","affect","positive","can feel happy sometimes",1.5
"42","1","us","adults","does that mean...?","cb1","R_43pNIOadVPn4K3j",2014-04-11 10:26:00,5,NA,NA,NA,"Interesting study!","1","test",9,"autonomy","noise","is making sounds on its own","perception","vision","can see what the box looks like",0.5
"43","1","us","adults","does that mean...?","cb1","R_43pNIOadVPn4K3j",2014-04-11 10:26:00,5,NA,NA,NA,"Interesting study!","1","test",10,"inanimacy","glass_clay","is made out of glass","inanimacy","metal_plastic","is made out of metal",-1.5
"44","1","us","adults","does that mean...?","cb1","R_43pNIOadVPn4K3j",2014-04-11 10:26:00,5,NA,NA,NA,"Interesting study!","1","test",11,"perception","hearing","can hear me","autonomy","movement","can move itself around the box",0.5
"45","1","us","adults","does that mean...?","cb1","R_4JE63h47n2FAI8B",2014-04-11 08:24:00,3,NA,NA,NA,"VERY cute, good luck with your research!","1","practice",1,NA,NA,"is purple",NA,NA,"is green",-1.5
"46","1","us","adults","does that mean...?","cb1","R_4JE63h47n2FAI8B",2014-04-11 08:24:00,3,NA,NA,NA,"VERY cute, good luck with your research!","1","practice",2,NA,NA,"is walking around",NA,NA,"has legs",1.5
"47","1","us","adults","does that mean...?","cb1","R_4JE63h47n2FAI8B",2014-04-11 08:24:00,3,NA,NA,NA,"VERY cute, good luck with your research!","1","practice",3,NA,NA,"is made out of paper",NA,NA,"might rip sometime",0.5
"48","1","us","adults","does that mean...?","cb1","R_4JE63h47n2FAI8B",2014-04-11 08:24:00,3,NA,NA,NA,"VERY cute, good luck with your research!","1","test",4,"inanimacy","metal_plastic","is made out of plastic","perception","hearing","can hear what's going on around it",-1.5
"49","1","us","adults","does that mean...?","cb1","R_4JE63h47n2FAI8B",2014-04-11 08:24:00,3,NA,NA,NA,"VERY cute, good luck with your research!","1","test",5,"affect","positive","is in a good mood right now","autonomy","noise","can make noises all by itself",0.5
"50","1","us","adults","does that mean...?","cb1","R_4JE63h47n2FAI8B",2014-04-11 08:24:00,3,NA,NA,NA,"VERY cute, good luck with your research!","1","test",6,"perception","vision","can see me","affect","negative","can be in a bad mood sometimes",0.5
"51","1","us","adults","does that mean...?","cb1","R_4JE63h47n2FAI8B",2014-04-11 08:24:00,3,NA,NA,NA,"VERY cute, good luck with your research!","1","test",7,"autonomy","movement","is moving itself from one side of the box to the other","inanimacy","glass_clay","is made out of clay",-1.5
"52","1","us","adults","does that mean...?","cb1","R_4JE63h47n2FAI8B",2014-04-11 08:24:00,3,NA,NA,NA,"VERY cute, good luck with your research!","1","test",8,"affect","negative","feels sad right now","affect","positive","can feel happy sometimes",1.5
"53","1","us","adults","does that mean...?","cb1","R_4JE63h47n2FAI8B",2014-04-11 08:24:00,3,NA,NA,NA,"VERY cute, good luck with your research!","1","test",9,"autonomy","noise","is making sounds on its own","perception","vision","can see what the box looks like",0.5
"54","1","us","adults","does that mean...?","cb1","R_4JE63h47n2FAI8B",2014-04-11 08:24:00,3,NA,NA,NA,"VERY cute, good luck with your research!","1","test",10,"inanimacy","glass_clay","is made out of glass","inanimacy","metal_plastic","is made out of metal",-0.5
"55","1","us","adults","does that mean...?","cb1","R_4JE63h47n2FAI8B",2014-04-11 08:24:00,3,NA,NA,NA,"VERY cute, good luck with your research!","1","test",11,"perception","hearing","can hear me","autonomy","movement","can move itself around the box",0.5
"56","1","us","adults","does that mean...?","cb1","R_6fbFiNVB6MFCxCt",2014-04-11 13:19:00,5,NA,NA,NA,NA,"1","practice",1,NA,NA,"is purple",NA,NA,"is green",-1.5
"57","1","us","adults","does that mean...?","cb1","R_6fbFiNVB6MFCxCt",2014-04-11 13:19:00,5,NA,NA,NA,NA,"1","practice",2,NA,NA,"is walking around",NA,NA,"has legs",1.5
"58","1","us","adults","does that mean...?","cb1","R_6fbFiNVB6MFCxCt",2014-04-11 13:19:00,5,NA,NA,NA,NA,"1","practice",3,NA,NA,"is made out of paper",NA,NA,"might rip sometime",-0.5
"59","1","us","adults","does that mean...?","cb1","R_6fbFiNVB6MFCxCt",2014-04-11 13:19:00,5,NA,NA,NA,NA,"1","test",4,"inanimacy","metal_plastic","is made out of plastic","perception","hearing","can hear what's going on around it",-1.5
"60","1","us","adults","does that mean...?","cb1","R_6fbFiNVB6MFCxCt",2014-04-11 13:19:00,5,NA,NA,NA,NA,"1","test",5,"affect","positive","is in a good mood right now","autonomy","noise","can make noises all by itself",1.5
"61","1","us","adults","does that mean...?","cb1","R_6fbFiNVB6MFCxCt",2014-04-11 13:19:00,5,NA,NA,NA,NA,"1","test",6,"perception","vision","can see me","affect","negative","can be in a bad mood sometimes",0.5
"62","1","us","adults","does that mean...?","cb1","R_6fbFiNVB6MFCxCt",2014-04-11 13:19:00,5,NA,NA,NA,NA,"1","test",7,"autonomy","movement","is moving itself from one side of the box to the other","inanimacy","glass_clay","is made out of clay",-1.5
"63","1","us","adults","does that mean...?","cb1","R_6fbFiNVB6MFCxCt",2014-04-11 13:19:00,5,NA,NA,NA,NA,"1","test",8,"affect","negative","feels sad right now","affect","positive","can feel happy sometimes",1.5
"64","1","us","adults","does that mean...?","cb1","R_6fbFiNVB6MFCxCt",2014-04-11 13:19:00,5,NA,NA,NA,NA,"1","test",9,"autonomy","noise","is making sounds on its own","perception","vision","can see what the box looks like",0.5
"65","1","us","adults","does that mean...?","cb1","R_6fbFiNVB6MFCxCt",2014-04-11 13:19:00,5,NA,NA,NA,NA,"1","test",10,"inanimacy","glass_clay","is made out of glass","inanimacy","metal_plastic","is made out of metal",-1.5
"66","1","us","adults","does that mean...?","cb1","R_6fbFiNVB6MFCxCt",2014-04-11 13:19:00,5,NA,NA,NA,NA,"1","test",11,"perception","hearing","can hear me","autonomy","movement","can move itself around the box",0.5
"67","1","us","adults","does that mean...?","cb1","R_6lh2AAf2dfziuYR",2014-04-11 19:29:00,2,NA,NA,NA,NA,"1","practice",1,NA,NA,"is purple",NA,NA,"is green",-1.5
"68","1","us","adults","does that mean...?","cb1","R_6lh2AAf2dfziuYR",2014-04-11 19:29:00,2,NA,NA,NA,NA,"1","practice",2,NA,NA,"is walking around",NA,NA,"has legs",1.5
"69","1","us","adults","does that mean...?","cb1","R_6lh2AAf2dfziuYR",2014-04-11 19:29:00,2,NA,NA,NA,NA,"1","practice",3,NA,NA,"is made out of paper",NA,NA,"might rip sometime",-1.5
"70","1","us","adults","does that mean...?","cb1","R_6lh2AAf2dfziuYR",2014-04-11 19:29:00,2,NA,NA,NA,NA,"1","test",4,"inanimacy","metal_plastic","is made out of plastic","perception","hearing","can hear what's going on around it",-1.5
"71","1","us","adults","does that mean...?","cb1","R_6lh2AAf2dfziuYR",2014-04-11 19:29:00,2,NA,NA,NA,NA,"1","test",5,"affect","positive","is in a good mood right now","autonomy","noise","can make noises all by itself",1.5
"72","1","us","adults","does that mean...?","cb1","R_6lh2AAf2dfziuYR",2014-04-11 19:29:00,2,NA,NA,NA,NA,"1","test",6,"perception","vision","can see me","affect","negative","can be in a bad mood sometimes",0.5
"73","1","us","adults","does that mean...?","cb1","R_6lh2AAf2dfziuYR",2014-04-11 19:29:00,2,NA,NA,NA,NA,"1","test",7,"autonomy","movement","is moving itself from one side of the box to the other","inanimacy","glass_clay","is made out of clay",-1.5
"74","1","us","adults","does that mean...?","cb1","R_6lh2AAf2dfziuYR",2014-04-11 19:29:00,2,NA,NA,NA,NA,"1","test",8,"affect","negative","feels sad right now","affect","positive","can feel happy sometimes",1.5
"75","1","us","adults","does that mean...?","cb1","R_6lh2AAf2dfziuYR",2014-04-11 19:29:00,2,NA,NA,NA,NA,"1","test",9,"autonomy","noise","is making sounds on its own","perception","vision","can see what the box looks like",0.5
"76","1","us","adults","does that mean...?","cb1","R_6lh2AAf2dfziuYR",2014-04-11 19:29:00,2,NA,NA,NA,NA,"1","test",10,"inanimacy","glass_clay","is made out of glass","inanimacy","metal_plastic","is made out of metal",-1.5
"77","1","us","adults","does that mean...?","cb1","R_6lh2AAf2dfziuYR",2014-04-11 19:29:00,2,NA,NA,NA,NA,"1","test",11,"perception","hearing","can hear me","autonomy","movement","can move itself around the box",1.5
"78","1","us","adults","does that mean...?","cb1","R_9AgTp72ft2LA2AB",2014-04-11 15:50:00,19,NA,NA,NA,"no","1","practice",1,NA,NA,"is purple",NA,NA,"is green",-1.5
"79","1","us","adults","does that mean...?","cb1","R_9AgTp72ft2LA2AB",2014-04-11 15:50:00,19,NA,NA,NA,"no","1","practice",2,NA,NA,"is walking around",NA,NA,"has legs",1.5
"80","1","us","adults","does that mean...?","cb1","R_9AgTp72ft2LA2AB",2014-04-11 15:50:00,19,NA,NA,NA,"no","1","practice",3,NA,NA,"is made out of paper",NA,NA,"might rip sometime",1.5
"81","1","us","adults","does that mean...?","cb1","R_9AgTp72ft2LA2AB",2014-04-11 15:50:00,19,NA,NA,NA,"no","1","test",4,"inanimacy","metal_plastic","is made out of plastic","perception","hearing","can hear what's going on around it",-0.5
"82","1","us","adults","does that mean...?","cb1","R_9AgTp72ft2LA2AB",2014-04-11 15:50:00,19,NA,NA,NA,"no","1","test",5,"affect","positive","is in a good mood right now","autonomy","noise","can make noises all by itself",0.5
"83","1","us","adults","does that mean...?","cb1","R_9AgTp72ft2LA2AB",2014-04-11 15:50:00,19,NA,NA,NA,"no","1","test",6,"perception","vision","can see me","affect","negative","can be in a bad mood sometimes",0.5
"84","1","us","adults","does that mean...?","cb1","R_9AgTp72ft2LA2AB",2014-04-11 15:50:00,19,NA,NA,NA,"no","1","test",7,"autonomy","movement","is moving itself from one side of the box to the other","inanimacy","glass_clay","is made out of clay",-0.5
"85","1","us","adults","does that mean...?","cb1","R_9AgTp72ft2LA2AB",2014-04-11 15:50:00,19,NA,NA,NA,"no","1","test",8,"affect","negative","feels sad right now","affect","positive","can feel happy sometimes",1.5
"86","1","us","adults","does that mean...?","cb1","R_9AgTp72ft2LA2AB",2014-04-11 15:50:00,19,NA,NA,NA,"no","1","test",9,"autonomy","noise","is making sounds on its own","perception","vision","can see what the box looks like",0.5
"87","1","us","adults","does that mean...?","cb1","R_9AgTp72ft2LA2AB",2014-04-11 15:50:00,19,NA,NA,NA,"no","1","test",10,"inanimacy","glass_clay","is made out of glass","inanimacy","metal_plastic","is made out of metal",-1.5
"88","1","us","adults","does that mean...?","cb1","R_9AgTp72ft2LA2AB",2014-04-11 15:50:00,19,NA,NA,NA,"no","1","test",11,"perception","hearing","can hear me","autonomy","movement","can move itself around the box",0.5
"89","1","us","adults","does that mean...?","cb1","R_bd25EJwQ3sUzNw9",2014-04-11 07:33:00,2,NA,NA,NA,NA,"1","practice",1,NA,NA,"is purple",NA,NA,"is green",-1.5
"90","1","us","adults","does that mean...?","cb1","R_bd25EJwQ3sUzNw9",2014-04-11 07:33:00,2,NA,NA,NA,NA,"1","practice",2,NA,NA,"is walking around",NA,NA,"has legs",1.5
"91","1","us","adults","does that mean...?","cb1","R_bd25EJwQ3sUzNw9",2014-04-11 07:33:00,2,NA,NA,NA,NA,"1","practice",3,NA,NA,"is made out of paper",NA,NA,"might rip sometime",1.5
"92","1","us","adults","does that mean...?","cb1","R_bd25EJwQ3sUzNw9",2014-04-11 07:33:00,2,NA,NA,NA,NA,"1","test",4,"inanimacy","metal_plastic","is made out of plastic","perception","hearing","can hear what's going on around it",0.5
"93","1","us","adults","does that mean...?","cb1","R_bd25EJwQ3sUzNw9",2014-04-11 07:33:00,2,NA,NA,NA,NA,"1","test",5,"affect","positive","is in a good mood right now","autonomy","noise","can make noises all by itself",0.5
"94","1","us","adults","does that mean...?","cb1","R_bd25EJwQ3sUzNw9",2014-04-11 07:33:00,2,NA,NA,NA,NA,"1","test",6,"perception","vision","can see me","affect","negative","can be in a bad mood sometimes",0.5
"95","1","us","adults","does that mean...?","cb1","R_bd25EJwQ3sUzNw9",2014-04-11 07:33:00,2,NA,NA,NA,NA,"1","test",7,"autonomy","movement","is moving itself from one side of the box to the other","inanimacy","glass_clay","is made out of clay",-0.5
"96","1","us","adults","does that mean...?","cb1","R_bd25EJwQ3sUzNw9",2014-04-11 07:33:00,2,NA,NA,NA,NA,"1","test",8,"affect","negative","feels sad right now","affect","positive","can feel happy sometimes",0.5
"97","1","us","adults","does that mean...?","cb1","R_bd25EJwQ3sUzNw9",2014-04-11 07:33:00,2,NA,NA,NA,NA,"1","test",9,"autonomy","noise","is making sounds on its own","perception","vision","can see what the box looks like",0.5
"98","1","us","adults","does that mean...?","cb1","R_bd25EJwQ3sUzNw9",2014-04-11 07:33:00,2,NA,NA,NA,NA,"1","test",10,"inanimacy","glass_clay","is made out of glass","inanimacy","metal_plastic","is made out of metal",-1.5
"99","1","us","adults","does that mean...?","cb1","R_bd25EJwQ3sUzNw9",2014-04-11 07:33:00,2,NA,NA,NA,NA,"1","test",11,"perception","hearing","can hear me","autonomy","movement","can move itself around the box",0.5
"100","1","us","adults","does that mean...?","cb1","R_bJX8RWTZ7RaV8HP",2014-04-11 09:10:00,4,NA,NA,NA,NA,"1","practice",1,NA,NA,"is purple",NA,NA,"is green",-1.5
"101","1","us","adults","does that mean...?","cb1","R_bJX8RWTZ7RaV8HP",2014-04-11 09:10:00,4,NA,NA,NA,NA,"1","practice",2,NA,NA,"is walking around",NA,NA,"has legs",-1.5
"102","1","us","adults","does that mean...?","cb1","R_bJX8RWTZ7RaV8HP",2014-04-11 09:10:00,4,NA,NA,NA,NA,"1","practice",3,NA,NA,"is made out of paper",NA,NA,"might rip sometime",1.5
"103","1","us","adults","does that mean...?","cb1","R_bJX8RWTZ7RaV8HP",2014-04-11 09:10:00,4,NA,NA,NA,NA,"1","test",4,"inanimacy","metal_plastic","is made out of plastic","perception","hearing","can hear what's going on around it",-1.5
"104","1","us","adults","does that mean...?","cb1","R_bJX8RWTZ7RaV8HP",2014-04-11 09:10:00,4,NA,NA,NA,NA,"1","test",5,"affect","positive","is in a good mood right now","autonomy","noise","can make noises all by itself",0.5
"105","1","us","adults","does that mean...?","cb1","R_bJX8RWTZ7RaV8HP",2014-04-11 09:10:00,4,NA,NA,NA,NA,"1","test",6,"perception","vision","can see me","affect","negative","can be in a bad mood sometimes",0.5
"106","1","us","adults","does that mean...?","cb1","R_bJX8RWTZ7RaV8HP",2014-04-11 09:10:00,4,NA,NA,NA,NA,"1","test",7,"autonomy","movement","is moving itself from one side of the box to the other","inanimacy","glass_clay","is made out of clay",-1.5
"107","1","us","adults","does that mean...?","cb1","R_bJX8RWTZ7RaV8HP",2014-04-11 09:10:00,4,NA,NA,NA,NA,"1","test",8,"affect","negative","feels sad right now","affect","positive","can feel happy sometimes",1.5
"108","1","us","adults","does that mean...?","cb1","R_bJX8RWTZ7RaV8HP",2014-04-11 09:10:00,4,NA,NA,NA,NA,"1","test",9,"autonomy","noise","is making sounds on its own","perception","vision","can see what the box looks like",0.5
"109","1","us","adults","does that mean...?","cb1","R_bJX8RWTZ7RaV8HP",2014-04-11 09:10:00,4,NA,NA,NA,NA,"1","test",10,"inanimacy","glass_clay","is made out of glass","inanimacy","metal_plastic","is made out of metal",-1.5
"110","1","us","adults","does that mean...?","cb1","R_bJX8RWTZ7RaV8HP",2014-04-11 09:10:00,4,NA,NA,NA,NA,"1","test",11,"perception","hearing","can hear me","autonomy","movement","can move itself around the box",0.5
"111","1","us","adults","does that mean...?","cb1","R_eew5IppVb3Amjad",2014-04-11 07:33:00,4,NA,NA,NA,"Thank you, maybe put the reminder of what items can be found in the survey just as a reminder to the person, especially if they are children. Thank You.","1","practice",1,NA,NA,"is purple",NA,NA,"is green",-1.5
"112","1","us","adults","does that mean...?","cb1","R_eew5IppVb3Amjad",2014-04-11 07:33:00,4,NA,NA,NA,"Thank you, maybe put the reminder of what items can be found in the survey just as a reminder to the person, especially if they are children. Thank You.","1","practice",2,NA,NA,"is walking around",NA,NA,"has legs",0.5
"113","1","us","adults","does that mean...?","cb1","R_eew5IppVb3Amjad",2014-04-11 07:33:00,4,NA,NA,NA,"Thank you, maybe put the reminder of what items can be found in the survey just as a reminder to the person, especially if they are children. Thank You.","1","practice",3,NA,NA,"is made out of paper",NA,NA,"might rip sometime",1.5
"114","1","us","adults","does that mean...?","cb1","R_eew5IppVb3Amjad",2014-04-11 07:33:00,4,NA,NA,NA,"Thank you, maybe put the reminder of what items can be found in the survey just as a reminder to the person, especially if they are children. Thank You.","1","test",4,"inanimacy","metal_plastic","is made out of plastic","perception","hearing","can hear what's going on around it",-0.5
"115","1","us","adults","does that mean...?","cb1","R_eew5IppVb3Amjad",2014-04-11 07:33:00,4,NA,NA,NA,"Thank you, maybe put the reminder of what items can be found in the survey just as a reminder to the person, especially if they are children. Thank You.","1","test",5,"affect","positive","is in a good mood right now","autonomy","noise","can make noises all by itself",0.5
"116","1","us","adults","does that mean...?","cb1","R_eew5IppVb3Amjad",2014-04-11 07:33:00,4,NA,NA,NA,"Thank you, maybe put the reminder of what items can be found in the survey just as a reminder to the person, especially if they are children. Thank You.","1","test",6,"perception","vision","can see me","affect","negative","can be in a bad mood sometimes",0.5
"117","1","us","adults","does that mean...?","cb1","R_eew5IppVb3Amjad",2014-04-11 07:33:00,4,NA,NA,NA,"Thank you, maybe put the reminder of what items can be found in the survey just as a reminder to the person, especially if they are children. Thank You.","1","test",7,"autonomy","movement","is moving itself from one side of the box to the other","inanimacy","glass_clay","is made out of clay",-1.5
"118","1","us","adults","does that mean...?","cb1","R_eew5IppVb3Amjad",2014-04-11 07:33:00,4,NA,NA,NA,"Thank you, maybe put the reminder of what items can be found in the survey just as a reminder to the person, especially if they are children. Thank You.","1","test",8,"affect","negative","feels sad right now","affect","positive","can feel happy sometimes",1.5
"119","1","us","adults","does that mean...?","cb1","R_eew5IppVb3Amjad",2014-04-11 07:33:00,4,NA,NA,NA,"Thank you, maybe put the reminder of what items can be found in the survey just as a reminder to the person, especially if they are children. Thank You.","1","test",9,"autonomy","noise","is making sounds on its own","perception","vision","can see what the box looks like",-0.5
"120","1","us","adults","does that mean...?","cb1","R_eew5IppVb3Amjad",2014-04-11 07:33:00,4,NA,NA,NA,"Thank you, maybe put the reminder of what items can be found in the survey just as a reminder to the person, especially if they are children. Thank You.","1","test",10,"inanimacy","glass_clay","is made out of glass","inanimacy","metal_plastic","is made out of metal",-1.5
"121","1","us","adults","does that mean...?","cb1","R_eew5IppVb3Amjad",2014-04-11 07:33:00,4,NA,NA,NA,"Thank you, maybe put the reminder of what items can be found in the survey just as a reminder to the person, especially if they are children. Thank You.","1","test",11,"perception","hearing","can hear me","autonomy","movement","can move itself around the box",0.5
