"","study","country","sequence","subid"
"115","1prime","us","4","R_bjsWmU1KQWXfN1X"
"116","1prime","us","4","R_5bB05KkpE5gFllP"
"117","1prime","us","5","R_bBM2X4xG92dkXgV"
"118","1prime","us","5","R_3VmJuG4IlmZWFgN"
"119","1prime","us","5","R_0vbCZgqxW8wrC1T"
"120","1prime","us","5","R_8uztj9hKCAVaCdT"
"121","1prime","us","5","R_3q3bliEshNJOkzb"
"122","1prime","us","5","R_8J57dNNRNjD42TH"
"123","1prime","us","5","R_bBfYjB9D5umgLzv"
"124","1prime","us","5","R_3NOgW1qALnFWdKZ"
"125","1prime","us","5","R_73QBzUOyF2RrytL"
"126","1prime","us","6","R_bjWYJrRDV8h9NwF"
"127","1prime","us","6","R_8pteTHcD2dU0K2x"
"128","1prime","us","6","R_8obJb0xv00YxfMx"
"129","1prime","us","6","R_7VZkA2eJPXKJVch"
"130","1prime","us","6","R_0wZitES3fjLgV01"
"131","1prime","us","6","R_29yuUYtcaZzPQNf"
"132","1prime","us","6","R_8tSWtGNb5zzhr7f"
"133","1prime","us","6","R_42t8bXp3RFVBVSR"
"134","1prime","us","6","R_1AdL3gbLxotG9V3"
"135","1prime","us","7","R_3CnJ6nY1LmQEh1P"
"136","1prime","us","7","R_0Pqy6uyYeT5LFgV"
"137","1prime","us","7","R_089ig6ZZaf77ItD"
"138","1prime","us","7","R_aVviiF8VJFfFWct"
"139","1prime","us","7","R_b2ekbp7eY5xGs2F"
"140","1prime","us","7","R_cNIqBnIuzgJYx8h"
"141","1prime","us","7","R_ctC4w4hA9WUkpwN"
"142","1prime","us","7","R_5myNabfppxOMVNP"
"143","1prime","us","7","R_8AJgwBXYySaobXv"
"144","1prime","us","8","R_a36Gjpe74gRow6N"
"145","1prime","us","8","R_b3r0MWSaAzIwKpf"
"146","1prime","us","8","R_1AqLd0WVa4ZX6vz"
"147","1prime","us","8","R_2rDwt5f87G2xplz"
"148","1prime","us","8","R_2mkWGaX5CAi847j"
"149","1prime","us","8","R_aVs4ZAkw1Na0ARf"
"150","1prime","us","8","R_ewYYcEDBzjiOWk5"
"151","1prime","us","8","R_0SPgvSc9E0npoI5"
"152","1prime","us","8","R_1Mv5XftQulYdEdT"
"153","2","us","s1","S01"
"154","2","us","s1","C01"
"155","2","us","s1","S17"
"156","2","us","s1","C17"
"157","2","us","s1","S35"
"158","2","us","s1","S09"
"159","2","us","s1","S27"
"160","2","us","s1","C09"
"161","2","us","s2","C02"
"162","2","us","s2","C18"
"163","2","us","s2","S02"
"164","2","us","s2","S36"
"165","2","us","s2","C10"
"166","2","us","s2","S28"
"167","2","us","s2","S20"
"168","2","us","s2","S10"
"169","2","us","s3","S03"
"170","2","us","s3","C03"
"171","2","us","s3","S29"
"172","2","us","s3","S37"
"173","2","us","s3","S19"
"174","2","us","s3","C11"
"175","2","us","s3","S21"
"176","2","us","s3","FC02"
"177","2","us","s4","S38"
"178","2","us","s4","S04"
"179","2","us","s4","S12"
"180","2","us","s4","C04"
"181","2","us","s4","C20"
"182","2","us","s4","S30"
"183","2","us","s4","C12"
"184","2","us","s4","S22"
"185","2","us","s5","C21"
"186","2","us","s5","FC04"
"187","2","us","s5","S23"
"188","2","us","s5","C05"
"189","2","us","s5","S05"
"190","2","us","s5","FC03"
"191","2","us","s5","S18"
"192","2","us","s5","C13"
"193","2","us","s6","C06"
"194","2","us","s6","S06"
"195","2","us","s6","S32"
"196","2","us","s6","C14"
"197","2","us","s6","S24"
"198","2","us","s6","C22"
"199","2","us","s6","S14"
"200","2","us","s6","FC01"
"201","2","us","s7","S33"
"202","2","us","s7","C07"
"203","2","us","s7","C15"
"204","2","us","s7","C23"
"205","2","us","s7","S07"
"206","2","us","s7","FC05"
"207","2","us","s7","S25"
"208","2","us","s7","S15"
"209","2","us","s8","S34"
"210","2","us","s8","C08"
"211","2","us","s8","S100"
"212","2","us","s8","FC06"
"213","2","us","s8","S16"
"214","2","us","s8","C24"
"215","2","us","s8","S26"
"216","2","us","s8","S08"
"217","3","india","1","R_a8EqAFUbU3caIRv"
"218","3","india","1","R_3lcq67clxcRjDHT"
"219","3","india","1","R_9zRcyVXp19xFKNT"
"220","3","india","1","R_9spvuEeMyH7tflX"
"221","3","india","1","R_eJXPoIFBQ8A0PvD"
"222","3","india","1","R_2m1J4xaE624mktf"
"223","3","india","1","R_29sVmUToQBnKg2p"
"224","3","india","1","R_3vJ1APVXeLNuGyh"
"225","3","india","1","R_9QZdhHeLYSlDzbD"
"226","3","india","1","R_9Try4aHnJ5AsttX"
"227","3","india","2","R_1Ff41BzoDImtIAl"
"228","3","india","2","R_3yn4PB6RcAvITw9"
"229","3","india","2","R_5ywYHpJ8SJbp0yN"
"230","3","india","2","R_eEyPwCWt20XNxmR"
"231","3","india","2","R_8ka4ubzDrwpi3EV"
"232","3","india","2","R_5gUo15jRzejhFml"
"233","3","india","2","R_9TEZUEEUkfBI2O1"
"234","3","india","2","R_etCQ0BhjxAGyjgV"
"235","3","india","2","R_cMuOYyqqJzuvy7P"
"236","3","india","2","R_0w8LNALq9Yx7zRX"
"237","3","india","3","R_82H1CHx1z37jhKl"
"238","3","india","3","R_cXSvilGnYTeDOWp"
"239","3","india","3","R_0evudLtfunxH8Ox"
"240","3","india","3","R_eXsE7IoKEyYU9q5"
"241","3","india","3","R_aY70T8KB3iGxxxr"
"242","3","india","3","R_01Hx6UvHhIQMuUJ"
"243","3","india","3","R_5oIOKprrrn1IKCV"
"244","3","india","3","R_aXJNyNpMneKqEqV"
"245","3","india","3","R_3qqRZQ87EDpJ05T"
"246","3","india","3","R_0ppc2oC8cxSBm7j"
"247","3","india","4","R_ebY5pQ37PNqoGPP"
"248","3","india","4","R_e9BBhwLrLCSb0DX"
"249","3","india","4","R_6QexYkI3wT29yC1"
"250","3","india","4","R_elgHDXjYFSU2EDP"
"251","3","india","4","R_8jIsJYE6RrJPcRn"
"252","3","india","4","R_25CgkDmkQ13fnSJ"
"253","3","india","4","R_eD7xBkwTP9Ntw1L"
"254","3","india","4","R_2lZ3WiFWiU8G4Lj"
"255","3","india","4","R_9sLwgVvk7bEBahT"
"256","3","india","4","R_eLsgFcfoA4vORz7"
"257","3","india","5","R_eCMCjff95kxgU29"
"258","3","india","5","R_3pWs0vjdvU9xIMt"
"259","3","india","5","R_8eT6je8IuazWAsZ"
"260","3","india","5","R_abBQViLueBOPqqp"
"261","3","india","5","R_0VrCwWodEEtzMlD"
"262","3","india","5","R_0MuRUjLXjs5nvut"
"263","3","india","5","R_8A4HlOhSZRajiy9"
"264","3","india","5","R_1ZdXbuZkFWdTQKF"
"265","3","india","5","R_egP96I3ejccr9J3"
"266","3","india","5","R_djzj3Ufxgd9Xtpr"
"267","3","india","6","R_0NxtJjKDlY5BNoV"
"268","3","india","6","R_egFgbhGtpXcVqD3"
"269","3","india","6","R_1zwSFeoV0YaizHL"
"270","3","india","6","R_3mjUFIneyZstjhj"
"271","3","india","6","R_9yOe7ghHtKw7Of3"
"272","3","india","6","R_beGUJwGWcYygtzD"
"273","3","india","6","R_eSf2WwlnzsLAA4t"
"274","3","india","6","R_73Y0ZAg42gsPxBj"
"275","3","india","6","R_cuaWzjIBsZ8caRT"
"276","3","india","6","R_0qtzYvbIbxZoY2p"
"277","3","india","7","R_3wKYJJRjjH3XFGJ"
"278","3","india","7","R_e3YRBCQyvI33in3"
"279","3","india","7","R_6Yz1yBLmOZwMs9T"
"280","3","india","7","R_0HZzayrBFZ6vFJz"
"281","3","india","7","R_8tTXo0naQU3eCVf"
"282","3","india","7","R_8lb1unUgTDDzWFD"
"283","3","india","7","R_bsIDhwTPJ473u8R"
"284","3","india","7","R_71BVATw1CABXe05"
"285","3","india","7","R_1Llgy3aBQhV7IQR"
"286","3","india","7","R_6WO4TfAVU4ea96d"
