sequence,phase,trialNum,fact,factCat,factSub,factText,question,questionCat,questionSub,questionText
1,practice,p1,NA,NA,NA,is purple,NA,NA,NA,is green
1,practice,p2,NA,NA,NA,is walking around,NA,NA,NA,has legs
1,practice,p3,NA,NA,NA,is made out of paper,NA,NA,NA,might rip sometime
1,test,t1,Phya2,inanimacy,metal_plastic,is made out of plastic,Perb2,perception,hearing,can hear what's going on around it
1,test,t2,Affa2,affect,positive,is in a good mood right now,Autb1,autonomy,noise,can make noises all by itself
1,test,t3,Pera1,perception,vision,can see me,Affb2,affect,negative,can be in a bad mood sometimes
1,test,t4,Auta2,autonomy,movement,is moving itself from one side of the box to the other,Phyb2,inanimacy,glass_clay,is made out of clay
1,test,t5,Affb1,affect,negative,feels sad right now,Affa1,affect,positive,can feel happy sometimes
1,test,t6,Autb2,autonomy,noise,is making sounds on its own,Pera2,perception,vision,can see what the box looks like
1,test,t7,Phyb1,inanimacy,glass_clay,is made out of glass,Phya1,inanimacy,metal_plastic,is made out of metal
1,test,t8,Perb1,perception,hearing,can hear me,Auta1,autonomy,movement,can move itself around the box
2,practice,p1,NA,NA,NA,is purple,NA,NA,NA,is green
2,practice,p2,NA,NA,NA,is walking around,NA,NA,NA,has legs
2,practice,p3,NA,NA,NA,is made out of paper,NA,NA,NA,might rip sometime
2,test,t1,Pera2,perception,vision,can see what the box looks like,Autb1,autonomy,noise,can make noises all by itself
2,test,t2,Phyb2,inanimacy,glass_clay,is made out of clay,Phya2,inanimacy,metal_plastic,is made out of plastic
2,test,t3,Auta2,autonomy,movement,is moving itself from one side of the box to the other,Perb1,perception,hearing,can hear me
2,test,t4,Affb2,affect,negative,is in a bad mood right now,Affa2,affect,positive,can be in a good mood sometimes
2,test,t5,Autb2,autonomy,noise,is making sounds on its own,Phyb1,inanimacy,glass_clay,is made out of glass
2,test,t6,Perb2,perception,hearing,can hear what's going on around it,Affb1,affect,negative,can feel sad sometimes
2,test,t7,Affa1,affect,positive,feels happy right now,Auta1,autonomy,movement,can move itself around the box
2,test,t8,Phya1,inanimacy,metal_plastic,is made out of metal,Pera1,perception,vision,can see me
3,practice,p1,NA,NA,NA,is purple,NA,NA,NA,is green
3,practice,p2,NA,NA,NA,is walking around,NA,NA,NA,has legs
3,practice,p3,NA,NA,NA,is made out of paper,NA,NA,NA,might rip sometime
3,test,t1,Affb1,affect,negative,feels sad right now,Pera2,perception,vision,can see what the box looks like
3,test,t2,Perb2,perception,hearing,can hear what's going on around it,Phyb1,inanimacy,glass_clay,is made out of glass
